ID,Group,Feature_1,Feature_2,Feature_3
ID176,B,2196.0190824994497,416.0697300105506,4412.885790868809
ID359,B,2430.8179652084755,395.04518866316727,4867.414929307245
ID284,B,2408.1909671630356,422.4183561620644,4836.352261051964
ID814,C,2472.773437706151,393.449522974684,-2080.6401208514094
ID226,C,2136.1616660294417,388.2948521460455,-1748.4199797433419
ID654,A,1492.293350386508,385.01827843056765,2554.045979304864
ID676,C,2544.3969940576094,406.7030487588409,-2142.282070833883
ID108,A,2555.6535034102108,407.98325845030797,5626.403109118973
ID698,B,2084.4953384681294,394.0970963181284,4155.920341162703
ID274,A,2553.64652819549,424.83491193486674,5512.797547769485
ID285,B,2295.3809074340857,408.9754113513041,4601.950556770416
ID208,C,2564.3412391323377,427.09607250231255,-2154.9946649797985
ID809,C,2456.4343335645717,396.5811584685719,-2050.5499783620266
ID207,C,3178.431869108832,404.0846559816794,-2757.838189414263
ID388,B,2442.387004713837,408.13462991655047,4908.382807252894
ID152,B,2932.7524032138895,390.80148955645564,5865.881347409725
ID576,B,2077.1389520848106,396.30109431346517,4175.58103209285
ID682,A,2148.307372260455,439.5890646074623,4258.230143285034
ID214,B,2729.632420719006,399.32374140657305,5460.534437657139
ID262,C,2406.427941486619,392.98826810586854,-2003.610490043422
ID308,B,2814.166446670336,397.45879452860385,5607.543792158374
ID316,B,2095.713814986951,405.4014354010154,4179.258620338985
ID195,C,3002.4321447699685,387.23972908640854,-2615.4467439227005
ID360,B,2805.034532544328,380.9080925538733,5609.7000929214055
ID132,B,2514.846948076755,398.9818318672848,5017.853168561254
ID209,A,2342.664805947826,416.88701686207605,4917.8734554508865
ID399,B,2352.0232910587733,380.2586410884822,4686.895142942553
ID424,A,2718.8551695353644,392.015039993055,6192.61931814467
ID538,B,2696.421262164352,416.0528811960933,5396.277262043327
ID193,A,2557.047916529022,391.16704382620674,5692.279044259706
ID649,A,2244.009346972353,396.7123401193726,4751.2475401773445
ID627,B,2663.5770873259357,405.6050745765477,5328.320860111
ID158,A,2396.500543760194,410.16872046875255,5146.326656069502
ID319,A,2325.410646266122,384.3641980432179,5060.6143473454495
ID764,C,1953.4379612576458,407.22567800922366,-1563.572066517416
ID161,A,2768.892796548386,380.53727272297766,6419.55643524207
ID203,B,2636.6653459530007,405.893089615552,5264.401604709436
ID693,B,1839.805777664897,407.0403209365847,3679.2185327907455
ID264,C,2887.305618891741,394.8334700576997,-2482.607219388309
ID509,C,2306.438205707157,384.7836902193654,-1922.614131422973
ID305,C,2175.5495544593045,417.21045444925556,-1758.7980639799318
ID662,A,3025.2978395682085,395.2409490969047,7087.469607485414
ID121,C,2341.2168386699154,420.8271289736042,-1897.6806457463035
ID721,B,1969.656847159609,400.34856283353713,3929.8008124533912
ID692,A,2134.7179676104747,404.3400364817048,4384.176566355424
ID405,C,2472.3192766840953,387.7329102400345,-2094.9206308328958
ID380,C,2309.812627219714,391.19311637870345,-1930.2833210813303
ID371,C,3097.6949215041013,379.21067178960857,-2725.648051628234
ID168,A,2922.061131604664,393.2473388621967,6800.36062194807
ID541,C,2342.0422049956833,385.48650938454455,-1936.844044556253
ID641,C,3097.7638907737396,397.1198881962506,-2696.859492790389
ID382,A,2516.675951476818,400.89137964878444,5547.825535702391
ID683,B,2323.177243253685,420.2353870255857,4625.611986010716
ID883,C,2670.9608954105083,410.42369207900657,-2232.9985721666326
ID733,A,2331.566966345478,402.32069629754966,4996.812098777099
ID823,A,2178.3936599447034,394.6529801727997,4551.339328154871
ID766,B,2756.048719058163,386.6142342543434,5521.213323230129
ID571,C,2692.9417603990564,386.0627762405254,-2293.673720025973
ID222,C,2365.4420109624466,389.00526486137,-1980.9013839544773
ID788,B,2718.063680674634,415.8017653869999,5431.448640154905
ID128,A,2737.0683792161904,417.5425766936551,6106.6643299958905
ID233,B,2356.967670340534,399.2406252414741,4710.403976196938
ID590,A,2499.9318234617745,388.35621995112587,5559.471090897065
ID402,A,2567.95869654188,395.0202407024172,5728.416496847241
ID163,B,2048.7870417121853,394.1613416487245,4108.2381411295855
ID136,A,2666.0911685132633,389.7709921572494,6058.297782216084
ID318,A,2594.277269946859,421.8391276078317,5660.9646947791725
ID798,C,2877.7210545348157,376.0656636342821,-2518.5882212841743
ID270,B,2375.8495356724184,431.3778021430809,4743.772871145337
ID867,B,2511.1468620148344,426.0023416720497,5004.9246500935815
ID808,C,2998.354857880033,401.1108517479513,-2612.131633992129
ID667,C,2803.8986706930764,376.879068553381,-2419.772224900943
ID139,B,2472.7338795470987,403.56063445390254,4938.9611015324
ID363,A,2319.4837151994,405.40964408018345,4935.741985997047
ID368,C,2468.4657066452787,428.6316207576716,-2032.9340413395923
ID297,A,2451.268396679733,393.2696966580218,5397.29100949219
ID799,C,2524.623349170726,389.7222682955924,-2149.9634595645307
ID521,A,2050.013569832711,380.02659182384,4245.949097063373
ID803,A,2984.5610917673343,413.3756064575413,6888.916722131686
ID563,B,2483.114510390076,406.86879189203785,4965.575633675235
ID583,C,2197.144335232706,409.6713356845499,-1787.4825803628391
ID105,C,3106.6190243282554,395.52608108596735,-2708.0119108712183
ID532,B,2404.9786623901578,424.0914576552391,4796.504772581125
ID450,C,3268.142205471487,416.33956539222834,-2853.320778326107
ID384,C,2161.8013191150876,403.60100171995543,-1755.070849882085
ID516,C,2379.9343484003784,391.31997031553806,-1995.2163644024822
ID266,B,2774.120959541765,406.8557101703914,5544.333913083063
ID395,A,2034.6124225286528,410.1585019480006,4059.7226465980016
ID536,C,2162.419728914784,419.6834220935574,-1741.6551668766751
ID498,A,2959.330727333163,400.51697562530035,6872.399520237892
ID191,C,2465.583566546093,379.80845661764806,-2093.855417571844
ID897,C,2014.9215759545375,417.4268945723931,-1606.570065164123
ID508,A,2672.213815036646,403.2686720531146,6008.074337762576
ID630,B,3033.927671493181,396.457429496993,6069.730728269039
ID787,B,2775.6977929435006,416.18782523346954,5524.720743721348
ID370,B,2378.953038131421,403.79524461110697,4757.555673498862
ID753,C,2497.5652038419266,420.8794383004769,-2094.487944737987
ID106,B,2993.517369064307,417.7617229858866,5982.862880312564
ID393,C,2226.8526418961237,386.1937367945661,-1834.0859828829311
ID216,C,2615.7457855345847,421.038761348539,-2178.0868359453125
ID659,A,2829.063817226157,408.27062316008306,6431.592611667164
ID482,B,1708.7749237635658,391.01497269227696,3427.7437889453386
ID301,C,2507.5153360622335,390.00502453795417,-2121.9182208819284
ID404,B,2669.9909787144397,404.9605338311508,5351.276755561807
ID593,C,2391.3737713606706,392.58819991067065,-1982.5940336270999
ID801,C,2128.887498344753,378.55404582190744,-1745.0894954064354
ID548,C,2615.4865648755786,397.0585949504036,-2207.069192795828
ID413,A,2592.7395581186784,412.12151539073625,5698.574482204584
ID545,C,2454.1628094712128,412.1744392427937,-2043.8612946459639
ID852,A,2564.916128156518,397.19871228096815,5723.164795530512
ID804,A,2329.3622971926447,400.8249859047497,4970.170663042997
ID665,A,2304.7988746430974,385.2760319030929,4990.95072101259
ID560,B,2993.43870589952,382.5315981108482,5987.798277411482
ID325,A,2847.450182370946,402.8855171204636,6526.109004440407
ID589,A,2123.9943063423393,407.3423107642985,4335.931795624247
ID240,A,1964.5472022812078,401.7020480235414,3885.6793115693763
ID696,A,2525.9528500701413,405.40316120637493,5565.29183112576
ID228,B,2471.319445537545,395.17159764160255,4952.598144315402
ID300,A,3085.4190820798162,397.37680076111025,7262.0766598400405
ID230,C,2770.03543073643,388.9647778487255,-2380.693549146658
ID731,B,2739.7321024757557,414.49930239770765,5503.06783349861
ID578,A,2165.0740086725364,406.10052713787513,4471.166784700828
ID724,B,2434.4055640442593,393.0303062770051,4858.04151024407
ID454,C,2818.1856160895604,387.22916731307424,-2422.7782121406863
ID642,C,2485.077323304051,426.00895611816406,-2064.525756204748
ID869,A,2469.4425172699457,406.69106725204153,5389.197296172213
ID231,B,2375.4297665329877,409.2934024884951,4757.742319965707
ID670,C,2759.0923008110894,403.07481297287745,-2346.3227262128426
ID624,B,2410.834622896078,402.2864043476978,4815.891482614137
ID537,A,2762.4779744404113,406.648164402444,6270.476620783366
ID249,A,1791.8209381648085,366.13722742409465,3549.434780087795
ID845,B,2286.6747549734505,404.02029064863063,4574.738574788884
ID469,B,2520.7000461823295,416.5656752930376,5035.588025705779
ID468,A,2346.9342857390193,369.3089589889105,5190.0021975588215
ID244,C,2544.531384056811,399.3106953845156,-2162.9579058738036
ID585,C,2389.6719482194835,397.85508659925176,-1978.1002385434076
ID304,B,2134.167792724569,408.6242299511936,4241.202316227424
ID704,C,2346.443343400495,417.56145056106334,-1923.778986704338
ID863,B,2553.5422520259167,399.02157485822045,5117.463559129266
ID410,B,2492.935047249632,422.9698773108968,4995.14260253999
ID324,C,2300.632208466239,404.89404581641026,-1894.1213141099665
ID857,C,2074.0281501202253,410.6258749012445,-1676.914533066236
ID381,C,2643.3182630061488,408.0344949639596,-2251.502036879698
ID298,A,2400.6593384895814,403.66783521098336,5186.088269967488
ID574,B,2813.507509491865,385.59066891852603,5624.397187786313
ID265,B,3236.460870842763,405.31165689415644,6464.245239229942
ID481,B,2221.1540420226847,407.0900774086757,4435.389344077118
ID618,A,2956.4829399735927,409.6781972651861,6836.741885544895
ID595,A,2487.80845840238,389.05921730444555,5500.6111350431665
ID278,B,2567.3691155167867,407.2947276572898,5130.576529087649
ID666,A,2100.3948906761,392.2384735948887,4349.451897100322
ID479,B,3186.172884360212,386.66906374352686,6365.0658201067845
ID286,A,2843.1441255665623,403.68550618718706,6509.422176701406
ID524,B,2517.130000379516,417.76094887473585,5020.55370265845
ID201,B,2279.2246929847133,405.7037320742021,4557.140918529162
ID334,C,2569.027396957497,428.16326144848483,-2140.5436670027293
ID506,C,2701.9815316805925,394.5035495274937,-2328.87402825294
ID848,C,2417.34042971899,403.233073386198,-2025.7828053928497
ID751,B,2996.788553088613,402.83831183708736,5984.545961828873
ID669,C,2396.2322604213236,404.335591564786,-2000.8206495544161
ID544,C,2811.695120162266,379.07449292755103,-2435.2536449236436
ID626,B,2131.7746500621965,405.4825703249454,4251.109541414241
ID875,B,2613.1623123431555,405.1422761416295,5237.148107627425
ID346,B,2317.083429108889,390.1249940089344,4644.442516076721
ID287,B,2422.0154143519944,396.91492932687686,4833.5516020779505
ID187,A,3015.872845382392,408.0504618976833,7021.212655348264
ID722,A,3340.3166822657026,407.5399902156628,7998.598666680032
ID441,A,2256.896889825929,399.4843941969534,4760.308111217221
ID587,B,2563.3923048184147,395.6865628598856,5127.128070221552
ID664,C,3001.3732663444107,388.59433753665917,-2608.3787891898432
ID307,C,2499.2062457405837,409.29606260760534,-2080.8173720462546
ID269,A,2571.2933561981026,389.0850086535475,5778.841862306654
ID251,C,2270.9952869140834,405.1536844652479,-1887.0686230557826
ID546,A,2716.7467319597877,397.20580318874585,6161.443391994293
ID604,A,2507.448029618981,378.2392669301572,5655.606257538778
ID394,B,1971.4463474028134,410.20756867363053,3952.79847602579
ID694,B,2632.03066300562,408.12189759932426,5237.239833898978
ID126,C,2702.779838998227,412.90864554835605,-2319.8613511018257
ID836,B,2129.526264496024,400.0560860036749,4266.529745131916
ID400,B,2441.50828334388,416.7573708192375,4894.057932268946
ID433,A,2603.1469580097146,417.4012390299753,5732.72597935795
ID383,A,2812.037367052562,405.13403678912874,6415.085753603775
ID769,B,1811.8919217232449,395.5226245733902,3619.0175538256203
ID375,A,2341.316982609514,396.90865820611236,5040.684484712652
ID336,A,2402.0203579114427,370.99878251009204,5343.546637277688
ID838,B,2505.620553857617,402.33602864020844,4980.024734148852
ID114,B,2575.872302444585,389.94932993497304,5141.501708813213
ID755,B,2382.6588600143127,397.63757099720243,4750.805580293281
ID607,B,2334.5913049996384,391.49052287601296,4666.690150401188
ID812,C,2235.582301119674,425.2763206029356,-1810.8373878915254
ID160,C,1812.3908257370385,387.69897269227977,-1430.541311942608
ID861,C,2551.6766219775564,385.8652389296681,-2175.0454152014836
ID279,A,2444.927431803355,416.544096539938,5248.903714516901
ID173,B,2642.308970191367,403.1237667577521,5261.097548668692
ID706,C,2240.4685793052486,417.1981627514804,-1836.0263480656072
ID242,A,2391.256633730088,375.3886745699536,5308.891150239812
ID341,A,2092.4468812955192,399.65886124175,4267.812778487047
ID526,C,2553.563024234671,393.9988301794705,-2152.4849570290253
ID540,B,2576.5481283048775,397.7969308368249,5163.945711598625
ID421,C,2685.93243523319,387.91989125638963,-2296.112034166338
ID565,C,2291.3518074394115,403.97168632824645,-1876.3758325887475
ID725,C,2613.987587899484,424.86152169342455,-2176.683361960208
ID783,C,1484.1011799923924,387.56290603084153,-1116.6532632859294
ID503,C,2101.250727821425,406.70482714148176,-1697.384384892331
ID854,C,2899.67187434919,402.3404251657204,-2501.448664404339
ID840,C,2428.9853079094073,417.1529225709727,-1993.3091027414532
ID367,B,2792.6172109097024,393.55759530236395,5596.944175715565
ID647,C,2761.5552893412178,390.5542755693349,-2357.8983344072267
ID789,A,2561.1481601488804,395.49955440127627,5712.016348275764
ID711,C,2617.4740616596177,400.9937818927211,-2225.226280126703
ID573,A,2983.2946785932745,405.4289169501635,6929.837164843426
ID116,A,2533.7295814748854,413.79238167924495,5518.943634466536
ID613,B,2902.4629815882877,390.934400297396,5800.936682752418
ID598,A,2018.4993342057273,394.20525701817076,4073.305007650942
ID467,C,2295.97462718241,384.98703543633314,-1903.0073307042135
ID866,B,2282.2473390046457,398.8333417794634,4562.997081386117
ID542,A,2567.577958121029,403.094387678976,5659.737285510046
ID608,C,2293.5470533150224,417.3927986999814,-1864.8472274267945
ID513,A,2850.0603932780587,402.0346871534889,6544.993524140283
ID397,B,1992.014388782586,417.0952096058957,3998.6325849630844
ID811,B,2380.012404410471,416.1228574904379,4760.648150617728
ID614,B,2016.8186501488644,411.7831200976464,4037.145632101366
ID673,C,2225.9459448085263,416.53288241569896,-1817.159636338062
ID351,A,2291.877579738596,377.14040575182264,4994.334113777452
ID871,C,2908.2060429344315,402.16149243961087,-2486.703034152856
ID418,A,2682.9260386365863,401.13795566498766,6041.8132879097175
ID543,B,2617.6498643339555,400.25856350800376,5250.483600877315
ID660,C,1818.163484272633,390.1487017627161,-1410.7029501148545
ID328,A,2664.1061902275624,387.8275104137896,6064.614778775918
ID103,B,2611.0849802042962,392.7473836002776,5209.370441415901
ID686,A,2951.54676834282,388.83166903193575,6916.538937885424
ID557,A,2401.1629182517413,379.604563919755,5285.5794563741665
ID889,A,2307.4571167267445,413.90191151291003,4833.6105596937205
ID322,C,1942.0499507322297,416.1763072277151,-1507.39324756116
ID312,B,2463.398827508365,386.29076208844003,4903.93297653543
ID464,C,2415.536693235153,382.9674157915479,-2035.7914573013634
ID446,C,2495.771003725909,383.88056575130315,-2100.6810863829987
ID431,C,2683.975873922346,368.50636046772405,-2302.1909465638855
ID294,C,2457.800547928477,415.9484514713231,-2049.3552335426507
ID332,C,2508.4495346538524,401.6585804551104,-2101.4300567395608
ID348,B,2886.2168262449063,415.61602323504655,5758.4335292939195
ID609,B,3001.3873625788337,379.66957958245854,6008.9184336776225
ID412,A,2663.061193256152,410.4306319123167,5948.85050547937
ID611,C,2418.7927878654596,406.52819551360085,-1996.8280381368093
ID219,B,2827.5281310860346,394.19052757931706,5657.018233148963
ID171,C,2649.559922533693,382.8814981454363,-2275.5339711658685
ID834,A,2667.3303284838266,405.47458456034406,5954.314078963808
ID688,C,2707.771550835029,417.555288167434,-2274.7548603757164
ID392,A,2391.513584328811,407.6565398637598,5142.821213688298
ID182,B,2658.060035573266,408.15333756832973,5312.460713810363
ID597,C,2540.8826881648724,401.4401391193356,-2124.9133267116167
ID465,C,2504.4420767617003,405.27479732554104,-2120.3343787386734
ID713,B,2514.4516897400704,392.6957573079168,5024.169587734165
ID377,A,2188.6820481945183,420.10241871344675,4467.278830183519
ID256,B,2258.7307471043305,393.96218918995675,4534.230266288231
ID856,B,2206.9533166502483,387.60902595176236,4424.214965914841
ID514,A,2308.0504438695116,421.10214541302673,4827.679846643647
ID653,A,2364.7188206515452,396.8767317538351,5116.800860831854
ID210,B,2393.641473291618,394.46391475908507,4757.088162054592
ID350,A,2072.0886921902684,368.7818114460403,4357.203715906364
ID217,C,2870.5005073963484,400.69975302881505,-2455.2257151828603
ID146,C,2528.8073815552466,398.31150358748556,-2123.647602295853
ID234,A,2652.611362454551,392.1901090940738,6002.764447825106
ID462,C,2690.9256214280745,414.9106048967376,-2273.04377777566
ID444,C,2409.6615152367376,396.92365310758464,-2016.2479997750638
ID440,B,2865.56810581272,411.4276587920014,5735.95306839197
ID625,C,3418.931592029953,399.46096906798215,-3001.073036734707
ID505,C,2798.06959797769,380.2253323851482,-2420.6273600395907
ID115,C,2573.350717734705,401.2006857376663,-2175.0255483025603
ID658,C,1976.0495996420702,403.93369571777856,-1569.9475644569163
ID507,C,2504.9165243976136,383.6625349636256,-2139.4174803511164
ID894,B,3430.893327098385,400.9596288122897,6862.59287651655
ID599,B,2251.858688385487,384.2633685315352,4505.982482453501
ID874,C,1885.3116645778996,388.4096362523967,-1486.5753280085487
ID635,B,2804.4418816981383,412.31382760309174,5606.088163430228
ID443,A,2629.1033365185585,401.8751224356642,5872.6879333287025
ID355,B,1687.4488297553366,417.30997094639724,3394.368392439314
ID797,C,2526.900187905007,387.0864143666347,-2128.2167527671177
ID572,C,2055.3801776425717,387.0101760488665,-1661.5714358893322
ID745,B,2672.1653231893692,396.54332887728845,5340.572033809526
ID586,A,2831.411525509211,424.176067162231,6365.453305726934
ID656,B,2670.059696154631,397.2914163603581,5336.2584851584625
ID837,C,2968.469852647758,395.25565444040217,-2573.3503592985135
ID767,B,2450.3639233294543,399.7953998232181,4898.783887822431
ID651,A,2298.6786832071557,411.40941979871735,4826.628033641313
ID582,C,2864.0878671676987,387.90385310301747,-2476.7640553701294
ID770,A,2152.657416148244,420.88396445787345,4377.732265101618
ID888,B,3078.583980237425,396.59115458990465,6164.474595357626
ID215,C,2236.777011238872,390.5588761278352,-1841.716154578851
ID723,A,2295.313030769883,404.33315079972283,4858.189729537452
ID784,B,2764.055310952124,404.96002498856546,5529.281270493646
ID610,B,2472.9384941888397,412.32520846043286,4948.545675363739
ID887,A,2156.3556537678623,376.82757398399866,4579.9327633385965
ID232,B,2139.5911864062064,412.40943921431307,4300.504343289817
ID530,A,2038.2794382543252,398.38262897830424,4115.3455821312
ID493,C,2619.7679932568553,401.6213658401426,-2212.953644192605
ID271,C,2172.031134384766,393.6052580774772,-1781.8031557678628
ID291,A,2334.8243480184633,400.18069327590115,5001.764628239313
ID646,C,3103.640645244694,380.1264582224269,-2711.305890037359
ID792,B,2530.2700566258395,395.0519269505768,5042.292255738977
ID623,C,2244.2533856974183,422.78854577804833,-1806.8440595096197
ID588,C,2851.228817253218,417.7127983762588,-2428.873104807284
ID241,A,2485.7107568279134,385.4509311435181,5530.541253414605
ID281,B,3029.8089761914143,408.8438376700024,6039.091940925516
ID414,A,2380.4739940721934,391.41912892712696,5185.114038752491
ID376,A,2604.693045382094,389.78566450904725,5860.977240556092
ID519,B,2593.4139463287956,386.28296563762007,5181.235692705408
ID343,A,2640.0151331401507,388.69120539139095,5976.136326278048
ID795,C,2507.8084146813076,428.81960247408966,-2083.201663164158
ID785,A,2855.476681747935,398.9790890597119,6577.87031671673
ID452,C,2746.789752470654,387.84883485178904,-2365.55520695
ID822,A,2227.4944781398367,398.67758243366336,4688.06984023223
ID172,C,2271.0399051401355,402.52769144066394,-1877.0153729451229
ID831,C,2944.234520932813,426.1537732775662,-2540.917929271003
ID166,C,2930.8601869163217,379.6353122612022,-2552.5186030959853
ID484,B,2927.148575717173,416.2588147977541,5842.818233342894
ID681,B,2386.862072752723,389.92408166675386,4772.361158319018
ID170,B,2653.4472113747834,395.7168119135024,5307.470095316475
ID213,C,3134.475152042837,412.30959401284326,-2713.0282314034202
ID638,C,2358.5427496839948,401.14584433534833,-1966.6288804081223
ID773,B,2706.99275387837,395.85775650791265,5404.04040570687
ID621,A,2056.5522224995784,400.44125173498355,4159.747274569479
ID303,A,2348.625057664802,418.9491303874167,4972.4492023760295
ID276,A,2178.237901801472,411.86158996258246,4477.397519697885
ID200,A,2517.7995495942127,382.4535078332499,5643.841472723497
ID292,A,2644.6030999545746,365.99370608775763,6105.333489118565
ID791,B,2167.9379516143294,388.4998464530641,4325.431628929393
ID772,B,2973.5789234841736,433.6752200573983,5969.205940201607
ID275,B,2187.6665315513565,392.66027623575485,4373.726856063248
ID631,C,2778.170811982207,365.1362997603631,-2416.983443863631
ID732,A,3060.7673646048725,406.91649177761866,7135.196117645369
ID771,A,2551.953298570358,426.6916963146401,5525.14059207964
ID407,A,2657.6663010407274,397.99344689363636,5981.282207807376
ID435,A,2563.125984305588,406.2043526448041,5662.139469275898
ID157,C,2267.2175271628225,414.01905055587275,-1846.2812528997363
ID374,A,2659.1687881746543,387.68347644897773,6059.929225770435
ID353,C,2631.3730554589747,392.9986859667525,-2245.3782813520647
ID730,A,2569.1378333245266,370.2404706844708,5856.899082684465
ID828,B,2701.301006678356,379.2513017509872,5402.007613443873
ID860,C,2501.8047567099097,395.191810562613,-2125.6842221903066
ID255,B,2330.67450931327,411.1033346806473,4668.034594827221
ID779,C,2416.6294063196688,384.5931069253084,-2044.6139293575138
ID720,C,2816.8693274851726,375.3292198379007,-2441.1301667522434
ID747,B,2371.8884164871315,392.9818951728222,4722.280200796625
ID555,B,2551.399793592789,403.78647736394,5091.18857479161
ID283,A,3025.9901138198757,420.5923515083035,6971.248026649376
ID622,C,2488.547167552328,393.3446436964503,-2083.593840971394
ID415,B,1784.8128698374912,403.4571608962419,3581.609048330524
ID864,B,2535.4453676219227,386.2428079879474,5059.933402482432
ID357,A,2148.5739462740057,406.81055044037817,4407.836206906784
ID196,A,2408.771388159784,407.8210834912636,5178.988227001954
ID311,C,2766.6399782915296,389.7886883311787,-2381.2500145235836
ID406,B,2633.03167444322,406.73325743532456,5261.600358371101
ID330,C,2427.9823739858466,405.3049689119956,-2008.9897030735692
ID825,C,2849.768686127,391.4510088992024,-2465.5748393904278
ID636,B,2312.295348419452,424.2508698651174,4612.802796703783
ID323,A,2219.5456733128663,404.70888142463536,4659.55452081287
ID101,A,2566.562193415402,401.0539226541737,5663.866775775723
ID810,B,2817.620371252555,387.6722286257486,5616.546961733343
ID453,B,2308.5234959876434,401.3128012919562,4625.023629507905
ID143,C,2459.144379554283,360.3385681833331,-2095.5701200579724
ID675,A,2785.2137740969088,403.59747308058803,6338.921747164554
ID110,B,2495.4732413796646,387.97018001941564,4995.413747070166
ID793,A,3132.1977609270652,416.3752493587387,7330.523947657863
ID807,A,2420.390628015659,397.57149162057794,5288.793893189005
ID768,B,2475.217367902005,410.53293239159507,4952.039536688505
ID603,C,2638.4005117081824,415.1265934375518,-2237.484602242711
ID687,C,2487.2275817438153,396.04835649589626,-2089.4807954214084
ID178,B,3293.5506543903975,368.6525426330981,6555.596279844413
ID485,C,2351.40388442584,424.3176799254207,-1940.896736239634
ID138,A,2452.1397346411773,398.7720458557989,5385.30146706191
